"date","week","light","plant","height","diameter1","diameter2","electro","number_flowers"
"2021-04-15",1,"FL","1FL",18,10,14,0.21,0
"2021-04-15",1,"FL","2FL",14,15,20,0.4,0
"2021-04-15",1,"FL","3FL",11,15,10,0.19,0
"2021-04-15",1,"FL","4FL",16,13,10,0.11,0
"2021-04-15",1,"FL","5FL",14,16,14,0.12,0
"2021-04-15",1,"FL","6FL",20,20,15,0.9,0
"2021-04-15",1,"FL","7FL",12,13,12,0.18,0
"2021-04-15",1,"FL","8FL",16,14,13,0.11,0
"2021-04-15",1,"FL","9FL",20,20,14,0.23,0
"2021-04-15",1,"FL","10FL",17,13,11,0.22,0
"2021-04-15",1,"SH20","1SH20",12,16,17,0.23,0
"2021-04-15",1,"SH20","2SH20",21,17,38,0.18,0
"2021-04-15",1,"SH20","3SH20",20,14,17,0.19,0
"2021-04-15",1,"SH20","4SH20",23,20,15,0.25,0
"2021-04-15",1,"SH20","5SH20",13,17,18,0.9,0
"2021-04-15",1,"SH20","6SH20",18,19,13,0.15,0
"2021-04-15",1,"SH20","7SH20",16,24,21,0.1,0
"2021-04-15",1,"SH20","8SH20",20,16,17,0.15,0
"2021-04-15",1,"SH20","9SH20",17,15,14,0.9,0
"2021-04-15",1,"SH20","10SH20",15,23,15,0.2,0
"2021-04-15",1,"SH60","1SH60",19,22,20,0.55,0
"2021-04-15",1,"SH60","2SH60",9,17,19,0.66,0
"2021-04-15",1,"SH60","3SH60",18,15,16,0.38,0
"2021-04-15",1,"SH60","4SH60",20,25,28,0.16,0
"2021-04-15",1,"SH60","5SH60",12,23,21,0.35,0
"2021-04-15",1,"SH60","6SH60",15,28,24,0.13,0
"2021-04-15",1,"SH60","7SH60",18,15,11,0.11,0
"2021-04-15",1,"SH60","8SH60",8,20,11,0.18,0
"2021-04-15",1,"SH60","9SH60",19,20,15,0.5,0
"2021-04-15",1,"SH60","10SH60",31,25,14,0.22,0
"2021-04-29",2,"FL","1FL",13,20,15,0.28,0
"2021-04-29",2,"FL","2FL",32,22,18,0.37,0
"2021-04-29",2,"FL","3FL",16,20,16,0.16,0
"2021-04-29",2,"FL","4FL",30,20,24,0.8,0
"2021-04-29",2,"FL","5FL",12,15,22,0.17,0
"2021-04-29",2,"FL","6FL",20,20,14,0.66,0
"2021-04-29",2,"FL","7FL",26,22,20,0.15,0
"2021-04-29",2,"FL","8FL",18,20,18,0.36,0
"2021-04-29",2,"FL","9FL",17,24,26,0.16,0
"2021-04-29",2,"FL","10FL",17,17,22,0.3,0
"2021-04-29",2,"SH20","1SH20",14,18,30,0.18,0
"2021-04-29",2,"SH20","2SH20",23,31,24,0.13,0
"2021-04-29",2,"SH20","3SH20",30,20,15,0.28,0
"2021-04-29",2,"SH20","4SH20",18,30,15,0.1,0
"2021-04-29",2,"SH20","5SH20",13,25,31,0.11,0
"2021-04-29",2,"SH20","6SH20",25,23,15,0.17,0
"2021-04-29",2,"SH20","7SH20",20,30,25,0.26,0
"2021-04-29",2,"SH20","8SH20",20,20,13,0.3,0
"2021-04-29",2,"SH20","9SH20",16,20,24,0.56,0
"2021-04-29",2,"SH20","10SH20",16,30,17,0.25,0
"2021-04-29",2,"SH60","1SH60",12,23,24,0.13,0
"2021-04-29",2,"SH60","2SH60",30,21,15,0.67,0
"2021-04-29",2,"SH60","3SH60",33,24,18,0.12,0
"2021-04-29",2,"SH60","4SH60",14,24,20,0.12,0
"2021-04-29",2,"SH60","5SH60",30,20,36,0.2,0
"2021-04-29",2,"SH60","6SH60",14,27,14,0.16,0
"2021-04-29",2,"SH60","7SH60",30,20,20,0.27,0
"2021-04-29",2,"SH60","8SH60",19,21,17,0.11,0
"2021-04-29",2,"SH60","9SH60",18,24,20,0.3,0
"2021-04-29",2,"SH60","10SH60",23,24,21,0.15,0
"2021-05-14",3,"FL","1FL",36,28,22,0.1,0
"2021-05-14",3,"FL","2FL",37,42,29,0.12,0
"2021-05-14",3,"FL","3FL",16,25,25,0.1,5
"2021-05-14",3,"FL","4FL",30,29,24,0.05,0
"2021-05-14",3,"FL","5FL",15,25,25,0.14,0
"2021-05-14",3,"FL","6FL",40,30,20,0.4,0
"2021-05-14",3,"FL","7FL",20,24,26,0.1,0
"2021-05-14",3,"FL","8FL",50,29,30,0.15,0
"2021-05-14",3,"FL","9FL",20,32,30,0.5,0
"2021-05-14",3,"FL","10FL",22,20,21,0.14,0
"2021-05-14",3,"SH20","1SH20",34,34,34,0.19,0
"2021-05-14",3,"SH20","2SH20",33,25,25,0.06,0
"2021-05-14",3,"SH20","3SH20",18,25,25,0.22,0
"2021-05-14",3,"SH20","4SH20",26,30,30,0.12,0
"2021-05-14",3,"SH20","5SH20",24,30,30,0.07,16
"2021-05-14",3,"SH20","6SH20",46,23,23,0.15,0
"2021-05-14",3,"SH20","7SH20",10,28,28,0.1,11
"2021-05-14",3,"SH20","8SH20",38,35,35,0.13,0
"2021-05-14",3,"SH20","9SH20",20,24,25,0.15,9
"2021-05-14",3,"SH20","10SH20",26,30,27,0.2,7
"2021-05-14",3,"SH60","1SH60",25,25,26,0.1,0
"2021-05-14",3,"SH60","2SH60",7,10,14,0.4,0
"2021-05-14",3,"SH60","3SH60",33,37,25,0.13,0
"2021-05-14",3,"SH60","4SH60",15,29,28,0.8,0
"2021-05-14",3,"SH60","5SH60",38,24,26,0.18,0
"2021-05-14",3,"SH60","6SH60",30,33,25,0.1,0
"2021-05-14",3,"SH60","7SH60",13,23,21,0.17,0
"2021-05-14",3,"SH60","8SH60",22,21,16,0.2,0
"2021-05-14",3,"SH60","9SH60",30,20,19,0.1,0
"2021-05-14",3,"SH60","10SH60",35,26,20,0.1,0
"2021-05-26",4,"FL","1FL",22,26,12,0.05,9
"2021-05-26",4,"FL","2FL",33,27,26,0.08,0
"2021-05-26",4,"FL","3FL",26,30,31,0.14,0
"2021-05-26",4,"FL","4FL",32,33,30,0.12,0
"2021-05-26",4,"FL","5FL",16,43,39,0.47,25
"2021-05-26",4,"FL","6FL",21,30,25,0.16,4
"2021-05-26",4,"FL","7FL",15,30,30,0.3,0
"2021-05-26",4,"FL","8FL",33,27,28,0.5,0
"2021-05-26",4,"FL","9FL",44,30,30,0.8,0
"2021-05-26",4,"FL","10FL",20,14,20,0.45,0
"2021-05-26",4,"SH20","1SH20",30,40,25,0.12,3
"2021-05-26",4,"SH20","2SH20",40,35,39,0.16,36
"2021-05-26",4,"SH20","3SH20",19,29,36,0.1,0
"2021-05-26",4,"SH20","4SH20",29,30,49,0.12,0
"2021-05-26",4,"SH20","5SH20",57,42,38,0.18,5
"2021-05-26",4,"SH20","6SH20",20,30,40,0.08,0
"2021-05-26",4,"SH20","7SH20",16,28,19,0.08,9
"2021-05-26",4,"SH20","8SH20",54,35,34,0.12,20
"2021-05-26",4,"SH20","9SH20",30,34,46,0.16,0
"2021-05-26",4,"SH20","10SH20",54,30,30,0.08,4
"2021-05-26",4,"SH60","1SH60",50,37,49,0.16,0
"2021-05-26",4,"SH60","2SH60",16,30,29,0.34,8
"2021-05-26",4,"SH60","3SH60",40,42,29,0.33,0
"2021-05-26",4,"SH60","4SH60",31,29,20,0.17,6
"2021-05-26",4,"SH60","5SH60",40,34,35,0.1,0
"2021-05-26",4,"SH60","6SH60",24,38,39,0.1,7
"2021-05-26",4,"SH60","7SH60",38,27,30,0.1,0
"2021-05-26",4,"SH60","8SH60",37,26,29,0.22,0
"2021-05-26",4,"SH60","9SH60",37,40,30,0.57,0
"2021-05-26",4,"SH60","10SH60",17,20,24,0.22,12
"2021-06-09",5,"FL","1FL",31,27,28,0.04,4
"2021-06-09",5,"FL","2FL",35,40,30,0.06,30
"2021-06-09",5,"FL","3FL",47,37,37,0.06,13
"2021-06-09",5,"FL","4FL",17,44,34,0.17,9
"2021-06-09",5,"FL","5FL",35,39,43,0.17,20
"2021-06-09",5,"FL","6FL",30,30,30,0.05,0
"2021-06-09",5,"FL","7FL",30,18,30,0.11,0
"2021-06-09",5,"FL","8FL",30,20,30,0.12,0
"2021-06-09",5,"FL","9FL",40,27,18,0.1,5
"2021-06-09",5,"FL","10FL",29,32,20,0.14,8
"2021-06-10",5,"SH20","1SH20",40,21,30,0.14,0
"2021-06-10",5,"SH20","2SH20",12,38,30,0.04,13
"2021-06-10",5,"SH20","3SH20",37,30,30,0.17,0
"2021-06-10",5,"SH20","4SH20",60,50,50,0.08,14
"2021-06-10",5,"SH20","5SH20",40,30,30,0.06,22
"2021-06-10",5,"SH20","6SH20",50,20,30,0.04,0
"2021-06-10",5,"SH20","7SH20",30,40,30,0.1,10
"2021-06-10",5,"SH20","8SH20",35,30,50,0.07,0
"2021-06-10",5,"SH20","9SH20",48,36,20,0.08,17
"2021-06-10",5,"SH20","10SH20",45,40,20,0.17,14
