"date","week","light","area","plant","height","diameter1","diameter2","number_leaves","length_leaves","number_flowers"
2021-04-28,1,"FL","1FL","11FL",3,6,6,2,2,0
2021-04-28,1,"FL","1FL","21FL",5,5,6,3,2,0
2021-04-28,1,"FL","1FL","31FL",2,7,8,4,1,0
2021-04-28,1,"FL","1FL","41FL",2,8,7,2,3,0
2021-04-28,1,"FL","2FL","12FL",4,8,7,3,2,0
2021-04-28,1,"FL","2FL","22FL",5,9,6,5,2,0
2021-04-28,1,"FL","2FL","32FL",4,9,5,4,2,0
2021-04-28,1,"FL","2FL","42FL",4,5,5,5,1,0
2021-04-28,1,"FL","3FL","13FL",2,6,8,5,1,0
2021-04-28,1,"FL","3FL","23FL",3,5,7,4,2,0
2021-04-28,1,"FL","3FL","33FL",2,7,5,3,2,0
2021-04-28,1,"FL","3FL","43FL",3,9,4,3,3,0
2021-04-28,1,"FL","4FL","14FL",3,7,5,3,1,0
2021-04-28,1,"FL","4FL","24FL",4,7,7,3,3,0
2021-04-28,1,"FL","4FL","34FL",4,6,6,2,2,0
2021-04-28,1,"FL","4FL","44FL",3,6,4,3,3,0
2021-04-28,1,"SH30","1SH30","11SH30",5,5,6,5,2,0
2021-04-28,1,"SH30","1SH30","21SH30",4,7,7,3,2,0
2021-04-28,1,"SH30","1SH30","31SH30",3,8,8,3,2,0
2021-04-28,1,"SH30","1SH30","41SH30",3,9,8,2,4,0
2021-04-28,1,"SH30","2SH30","12SH30",6,6,9,5,2,0
2021-04-28,1,"SH30","2SH30","22SH30",5,6,5,3,2,0
2021-04-28,1,"SH30","2SH30","32SH30",3,7,6,3,3,0
2021-04-28,1,"SH30","2SH30","42SH30",4,4,7,3,1,0
2021-04-28,1,"SH30","3SH30","13SH30",6,5,5,5,2,0
2021-04-28,1,"SH30","3SH30","23SH30",5,6,6,3,3,0
2021-04-28,1,"SH30","3SH30","33SH30",3,7,9,4,2,0
2021-04-28,1,"SH30","3SH30","43SH30",4,7,7,2,2,0
