"date","week","light","plant","height","diameter1","diameter2","number_leaves","length_leaves","number_flowers","presence_fruits"
"2021-05-14",1,"SH60","1SH60",5,25,15,10,10,3,"0"
"2021-05-14",1,"SH60","2SH60",5,30,26,12,11,1,"0"
"2021-05-14",1,"SH60","3SH60",10,21,21,9,9,1,"0"
"2021-05-14",1,"SH60","4SH60",9,30,30,9,9,2,"0"
"2021-05-14",1,"HSH60","1HSH60",17,8,10,8,9,2,"0"
"2021-05-14",1,"HSH60","2HSH60",9,21,22,9,10,1,"0"
"2021-05-14",1,"HSH60","3HSH60",10,20,20,8,9,1,"0"
"2021-05-14",1,"HSH60","4HSH60",6,18,19,10,8,4,"0"
"2021-05-14",1,"SH30","1SH30",10,20,7,8,9,1,"0"
"2021-05-14",1,"SH30","2SH30",10,24,23,11,8,2,"0"
"2021-05-14",1,"SH30","3SH30",20,18,21,8,10,1,"0"
"2021-05-14",1,"SH30","4SH30",18,21,15,10,7,3,"0"
"2021-05-14",1,"FL","1FL",14,26,28,10,10,2,"0"
"2021-05-14",1,"FL","2FL",10,22,15,8,8,0,"0"
"2021-05-14",1,"FL","3FL",18,23,20,9,7,4,"0"
"2021-05-14",1,"FL","4FL",15,20,18,8,8,0,"0"
"2021-05-26",2,"SH60","1SH60",15,36,27,28,15,4,"0"
"2021-05-26",2,"SH60","2SH60",19,42,40,16,12,4,"0"
"2021-05-26",2,"SH60","3SH60",20,44,30,20,11,3,"0"
"2021-05-26",2,"SH60","4SH60",18,35,32,19,12,2,"0"
"2021-05-26",2,"HSH60","1HSH60",18,36,30,15,12,4,"0"
"2021-05-26",2,"HSH60","2HSH60",18,32,35,16,12,5,"0"
"2021-05-26",2,"HSH60","3HSH60",20,35,36,18,11,5,"0"
"2021-05-26",2,"HSH60","4HSH60",21,38,37,20,12,6,"0"
"2021-05-26",2,"SH30","1SH30",20,46,55,11,11,4,"0"
"2021-05-26",2,"SH30","2SH30",10,30,25,13,10,3,"0"
"2021-05-26",2,"SH30","3SH30",17,35,43,20,11,3,"0"
"2021-05-26",2,"SH30","4SH30",19,40,30,16,10,2,"0"
"2021-05-26",2,"FL","1FL",15,49,60,15,9,4,"0"
"2021-05-26",2,"FL","2FL",28,50,50,20,11,5,"0"
"2021-05-26",2,"FL","3FL",20,40,55,10,10,4,"0"
"2021-05-26",2,"FL","4FL",19,55,59,11,10,4,"0"
"2021-06-08",3,"SH60","1SH60",24,95,100,20,11,6,"0"
"2021-06-08",3,"SH60","2SH60",20,96,98,24,16,5,"0"
"2021-06-08",3,"SH60","3SH60",20,100,101,26,18,6,"0"
"2021-06-08",3,"SH60","4SH60",21,98,105,18,19,7,"0"
"2021-06-08",3,"HSH60","1HSH60",30,95,98,20,15,6,"0"
"2021-06-08",3,"HSH60","2HSH60",20,90,100,16,14,6,"0"
