"date","week","light","area","plant","height","diameter1","diameter2","number_leaves","length_leaves","number_flowers","number_fruits"
2021-05-04,1,"FL","1FL","11FL",7,5,5,9,4,0,NA
2021-05-04,1,"FL","1FL","21FL",5,5,6,8,3,0,NA
2021-05-04,1,"FL","1FL","31FL",6,4,5,7,3,0,NA
2021-05-04,1,"FL","1FL","41FL",5,6,6,5,2,0,NA
2021-05-04,1,"FL","2FL","12FL",6,5,6,6,3,0,NA
2021-05-04,1,"FL","2FL","22FL",5,5,5,8,3,0,NA
2021-05-04,1,"FL","2FL","32FL",4,6,7,6,4,0,NA
2021-05-04,1,"FL","2FL","42FL",5,4,5,6,4,0,NA
2021-05-04,1,"FL","3FL","13FL",6,5,4,5,2,0,NA
2021-05-04,1,"FL","3FL","23FL",4,5,5,4,3,0,NA
2021-05-04,1,"FL","3FL","33FL",7,6,4,5,4,0,NA
2021-05-04,1,"FL","3FL","43FL",6,4,6,5,4,0,NA
2021-05-04,1,"FL","4FL","14FL",6,6,5,6,3,0,NA
2021-05-04,1,"FL","4FL","24FL",5,4,4,6,2,0,NA
2021-05-04,1,"FL","4FL","34FL",8,5,5,5,4,0,NA
2021-05-04,1,"FL","4FL","44FL",7,6,6,6,2,0,NA
2021-05-04,1,"SH30","1SH30","11SH30",6,4,6,8,3,0,NA
2021-05-04,1,"SH30","1SH30","21SH30",7,5,5,6,2,0,NA
2021-05-04,1,"SH30","1SH30","31SH30",4,3,4,7,3,0,NA
2021-05-04,1,"SH30","1SH30","41SH30",6,4,5,9,4,0,NA
2021-05-04,1,"SH30","2SH30","12SH30",5,3,6,8,2,0,NA
2021-05-04,1,"SH30","2SH30","22SH30",4,4,7,6,2,0,NA
2021-05-04,1,"SH30","2SH30","32SH30",4,4,5,6,3,0,NA
2021-05-04,1,"SH30","2SH30","42SH30",5,6,6,5,3,0,NA
2021-05-04,1,"SH30","3SH30","13SH30",5,5,7,4,4,0,NA
2021-05-04,1,"SH30","3SH30","23SH30",6,4,4,5,3,0,NA
2021-05-04,1,"SH30","3SH30","33SH30",4,5,5,5,2,0,NA
2021-05-04,1,"SH30","3SH30","43SH30",6,5,5,4,3,0,NA
2021-05-04,1,"SH30","4SH30","14SH30",7,4,3,5,2,0,NA
2021-05-04,1,"SH30","4SH30","24SH30",8,5,5,5,3,0,NA
2021-05-04,1,"SH30","4SH30","34SH30",7,5,6,6,3,0,NA
2021-05-04,1,"SH30","4SH30","44SH30",6,6,6,5,2,0,NA
2021-05-04,1,"HSH60","1HSH60","11HSH60",7,3,5,6,2,0,NA
2021-05-04,1,"HSH60","1HSH60","21HSH60",5,4,4,7,3,0,NA
2021-05-04,1,"HSH60","1HSH60","31HSH60",4,3,5,5,2,0,NA
2021-05-04,1,"HSH60","1HSH60","41HSH60",4,3,4,4,3,0,NA
2021-05-04,1,"HSH60","2HSH60","12HSH60",6,4,5,4,4,0,NA
