"date","week","light","area","plant","height","number_leaves"
"2021-04-22",1,"FL","1FL","11FL",1,1
"2021-04-22",1,"FL","1FL","21FL",1,1
"2021-04-22",1,"FL","1FL","31FL",1,1
"2021-04-22",1,"FL","2FL","12FL",1,1
"2021-04-22",1,"FL","2FL","22FL",1,1
"2021-04-22",1,"FL","2FL","32FL",1,1
"2021-04-22",1,"FL","3FL","13FL",1,1
"2021-04-22",1,"FL","3FL","23FL",1,1
"2021-04-22",1,"FL","3FL","33FL",1,1
"2021-04-22",1,"FL","4FL","14FL",1,1
"2021-04-22",1,"FL","4FL","24FL",1,1
"2021-04-22",1,"FL","4FL","34FL",1,1
"2021-04-22",1,"FL","5FL","15FL",1,1
"2021-04-22",1,"FL","5FL","25FL",1,1
"2021-04-22",1,"FL","5FL","35FL",1,1
"2021-04-22",1,"FL","6FL","16FL",1,1
"2021-04-22",1,"FL","6FL","26FL",1,1
"2021-04-22",1,"FL","6FL","36FL",1,1
"2021-04-22",1,"SH","1SH","11SH",1,1
"2021-04-22",1,"SH","1SH","21SH",1,1
"2021-04-22",1,"SH","1SH","31SH",1,1
"2021-04-22",1,"SH","2SH","12SH",1,1
"2021-04-22",1,"SH","2SH","22SH",1,1
"2021-04-22",1,"SH","2SH","32SH",1,1
"2021-04-22",1,"SH","3SH","13SH",1,1
"2021-04-22",1,"SH","3SH","23SH",1,1
"2021-04-22",1,"SH","3SH","33SH",1,1
"2021-04-22",1,"SH","4SH","14SH",1,1
"2021-04-22",1,"SH","4SH","24SH",1,1
"2021-04-22",1,"SH","4SH","34SH",1,1
"2021-04-22",1,"SH","5SH","15SH",1,1
"2021-04-22",1,"SH","5SH","25SH",1,1
"2021-04-22",1,"SH","5SH","35SH",1,1
"2021-04-22",1,"SH","6SH","16SH",1,1
"2021-04-22",1,"SH","6SH","26SH",1,1
"2021-04-22",1,"SH","6SH","36SH",1,1
"2021-04-22",1,"SH","7SH","17SH",1,1
"2021-04-22",1,"SH","7SH","27SH",1,1
"2021-04-22",1,"SH","7SH","37SH",1,1
"2021-04-22",1,"SH","8SH","18SH",1,1
"2021-04-22",1,"SH","8SH","28SH",1,1
"2021-04-22",1,"SH","8SH","38SH",1,1
"2021-04-22",1,"SH","9SH","19SH",1,1
"2021-04-22",1,"SH","9SH","29SH",1,1
"2021-04-22",1,"SH","9SH","39SH",1,1
"2021-04-22",1,"SH","10SH","110SH",1,1
"2021-04-22",1,"SH","10SH","210SH",1,1
"2021-04-22",1,"SH","10SH","310SH",1,1
"2021-04-22",1,"SH","11SH","111SH",1,1
"2021-04-22",1,"SH","11SH","211SH",1,1
"2021-04-22",1,"SH","11SH","311SH",1,1
"2021-04-22",1,"SH","12SH","112SH",1,1
"2021-04-22",1,"SH","12SH","212SH",1,1
"2021-04-22",1,"SH","12SH","312SH",1,1
"2021-04-22",1,"SH","13SH","113SH",1,1
"2021-04-22",1,"SH","13SH","213SH",1,1
"2021-04-22",1,"SH","13SH","313SH",1,1
"2021-04-22",1,"SH","14SH","114SH",1,1
"2021-04-22",1,"SH","14SH","214SH",1,1
"2021-04-22",1,"SH","14SH","314SH",1,1
"2021-04-22",1,"SH","15SH","115SH",1,1
"2021-04-22",1,"SH","15SH","215SH",1,1
"2021-04-22",1,"SH","15SH","315SH",1,1
"2021-04-22",1,"SH","16SH","116SH",1,1
"2021-04-22",1,"SH","16SH","216SH",1,1
"2021-04-22",1,"SH","16SH","316SH",1,1
"2021-04-22",1,"SH","17SH","117SH",1,1
"2021-04-22",1,"SH","17SH","217SH",1,1
"2021-04-22",1,"SH","17SH","317SH",1,1
"2021-04-22",1,"SH","18SH","118SH",1,1
"2021-04-22",1,"SH","18SH","218SH",1,1
"2021-04-22",1,"SH","18SH","318SH",1,1
"2021-04-22",1,"SH","19SH","119SH",1,1
"2021-04-22",1,"SH","19SH","219SH",1,1
"2021-04-22",1,"SH","19SH","319SH",1,1
"2021-04-22",1,"SH","20SH","120SH",1,1
"2021-04-22",1,"SH","20SH","220SH",1,1
"2021-04-22",1,"SH","20SH","320SH",1,1
"2021-04-22",1,"SH","21SH","121SH",1,1
"2021-04-22",1,"SH","21SH","221SH",1,1
"2021-04-22",1,"SH","21SH","321SH",1,1
"2021-04-22",1,"SH","22SH","122SH",1,1
"2021-04-22",1,"SH","22SH","222SH",1,1
"2021-04-22",1,"SH","22SH","322SH",1,1
"2021-04-22",1,"SH","23SH","123SH",1,1
"2021-04-22",1,"SH","23SH","223SH",1,1
"2021-04-22",1,"SH","23SH","323SH",1,1
"2021-04-22",1,"SH","24SH","124SH",1,1
"2021-04-22",1,"SH","24SH","224SH",1,1
"2021-04-22",1,"SH","24SH","324SH",1,1
"2021-04-29",2,"FL","1FL","11FL",1,1
"2021-04-29",2,"FL","1FL","21FL",1,1
"2021-04-29",2,"FL","1FL","31FL",1,1
"2021-04-29",2,"FL","2FL","12FL",1,1
"2021-04-29",2,"FL","2FL","22FL",1,1
"2021-04-29",2,"FL","2FL","32FL",1,1
"2021-04-29",2,"FL","3FL","13FL",1,1
"2021-04-29",2,"FL","3FL","23FL",1,1
"2021-04-29",2,"FL","3FL","33FL",1,1
"2021-04-29",2,"FL","4FL","14FL",1,1
"2021-04-29",2,"FL","4FL","24FL",1,1
"2021-04-29",2,"FL","4FL","34FL",1,1
"2021-04-29",2,"FL","5FL","15FL",1,1
"2021-04-29",2,"FL","5FL","25FL",1,1
"2021-04-29",2,"FL","5FL","35FL",1,1
"2021-04-29",2,"FL","6FL","16FL",1,1
"2021-04-29",2,"FL","6FL","26FL",1,1
"2021-04-29",2,"FL","6FL","36FL",1,1
"2021-04-29",2,"SH","1SH","11SH",1,1
"2021-04-29",2,"SH","1SH","21SH",1,1
"2021-04-29",2,"SH","1SH","31SH",1,1
"2021-04-29",2,"SH","2SH","12SH",1,1
"2021-04-29",2,"SH","2SH","22SH",1,1
"2021-04-29",2,"SH","2SH","32SH",1,1
"2021-04-29",2,"SH","3SH","13SH",1,1
"2021-04-29",2,"SH","3SH","23SH",1,1
"2021-04-29",2,"SH","3SH","33SH",1,1
"2021-04-29",2,"SH","4SH","14SH",1,1
"2021-04-29",2,"SH","4SH","24SH",1,1
"2021-04-29",2,"SH","4SH","34SH",1,1
"2021-04-29",2,"SH","5SH","15SH",1,1
"2021-04-29",2,"SH","5SH","25SH",1,1
"2021-04-29",2,"SH","5SH","35SH",1,1
"2021-04-29",2,"SH","6SH","16SH",1,1
"2021-04-29",2,"SH","6SH","26SH",1,1
"2021-04-29",2,"SH","6SH","36SH",1,1
"2021-04-29",2,"SH","7SH","17SH",1,1
"2021-04-29",2,"SH","7SH","27SH",1,1
"2021-04-29",2,"SH","7SH","37SH",1,1
"2021-04-29",2,"SH","8SH","18SH",1,1
"2021-04-29",2,"SH","8SH","28SH",1,1
"2021-04-29",2,"SH","8SH","38SH",1,1
"2021-04-29",2,"SH","9SH","19SH",1,1
"2021-04-29",2,"SH","9SH","29SH",1,1
"2021-04-29",2,"SH","9SH","39SH",1,1
"2021-04-29",2,"SH","10SH","110SH",1,1
"2021-04-29",2,"SH","10SH","210SH",1,1
"2021-04-29",2,"SH","10SH","310SH",1,1
"2021-04-29",2,"SH","11SH","111SH",1,1
"2021-04-29",2,"SH","11SH","211SH",1,1
"2021-04-29",2,"SH","11SH","311SH",1,1
"2021-04-29",2,"SH","12SH","112SH",1,1
"2021-04-29",2,"SH","12SH","212SH",1,1
"2021-04-29",2,"SH","12SH","312SH",1,1
"2021-04-29",2,"SH","13SH","113SH",1,1
"2021-04-29",2,"SH","13SH","213SH",1,1
"2021-04-29",2,"SH","13SH","313SH",1,1
"2021-04-29",2,"SH","14SH","114SH",1,1
"2021-04-29",2,"SH","14SH","214SH",1,1
"2021-04-29",2,"SH","14SH","314SH",1,1
"2021-04-29",2,"SH","15SH","115SH",1,1
"2021-04-29",2,"SH","15SH","215SH",1,1
"2021-04-29",2,"SH","15SH","315SH",1,1
"2021-04-29",2,"SH","16SH","116SH",1,1
"2021-04-29",2,"SH","16SH","216SH",1,1
"2021-04-29",2,"SH","16SH","316SH",1,1
"2021-04-29",2,"SH","17SH","117SH",1,1
"2021-04-29",2,"SH","17SH","217SH",1,1
"2021-04-29",2,"SH","17SH","317SH",1,1
"2021-04-29",2,"SH","18SH","118SH",1,1
"2021-04-29",2,"SH","18SH","218SH",1,1
"2021-04-29",2,"SH","18SH","318SH",1,1
"2021-04-29",2,"SH","19SH","119SH",1,1
"2021-04-29",2,"SH","19SH","219SH",1,1
"2021-04-29",2,"SH","19SH","319SH",1,1
"2021-04-29",2,"SH","20SH","120SH",1,1
"2021-04-29",2,"SH","20SH","220SH",1,1
"2021-04-29",2,"SH","20SH","320SH",1,1
"2021-04-29",2,"SH","21SH","121SH",1,1
"2021-04-29",2,"SH","21SH","221SH",1,1
"2021-04-29",2,"SH","21SH","321SH",1,1
"2021-04-29",2,"SH","22SH","122SH",1,1
"2021-04-29",2,"SH","22SH","222SH",1,1
"2021-04-29",2,"SH","22SH","322SH",1,1
"2021-04-29",2,"SH","23SH","123SH",1,1
"2021-04-29",2,"SH","23SH","223SH",1,1
"2021-04-29",2,"SH","23SH","323SH",1,1
"2021-04-29",2,"SH","24SH","124SH",1,1
"2021-04-29",2,"SH","24SH","224SH",1,1
"2021-04-29",2,"SH","24SH","324SH",1,1
"2021-05-06",3,"FL","1FL","11FL",2,3
"2021-05-06",3,"FL","1FL","21FL",3,3
"2021-05-06",3,"FL","1FL","31FL",2,3
"2021-05-06",3,"FL","2FL","12FL",3,3
"2021-05-06",3,"FL","2FL","22FL",4,3
"2021-05-06",3,"FL","2FL","32FL",5,3
"2021-05-06",3,"FL","3FL","13FL",4,3
"2021-05-06",3,"FL","3FL","23FL",3,3
"2021-05-06",3,"FL","3FL","33FL",3,3
"2021-05-06",3,"FL","4FL","14FL",3,3
"2021-05-06",3,"FL","4FL","24FL",3,3
"2021-05-06",3,"FL","4FL","34FL",5,3
"2021-05-06",3,"FL","5FL","15FL",3,3
"2021-05-06",3,"FL","5FL","25FL",4,3
"2021-05-06",3,"FL","5FL","35FL",3,3
"2021-05-06",3,"FL","6FL","16FL",4,3
"2021-05-06",3,"FL","6FL","26FL",5,3
"2021-05-06",3,"FL","6FL","36FL",4,3
"2021-05-06",3,"SH","1SH","11SH",3,3
"2021-05-06",3,"SH","1SH","21SH",4,3
"2021-05-06",3,"SH","1SH","31SH",5,3
"2021-05-06",3,"SH","2SH","12SH",4,3
"2021-05-06",3,"SH","2SH","22SH",4,3
"2021-05-06",3,"SH","2SH","32SH",3,3
"2021-05-06",3,"SH","3SH","13SH",4,3
"2021-05-06",3,"SH","3SH","23SH",5,3
"2021-05-06",3,"SH","3SH","33SH",3,3
"2021-05-06",3,"SH","4SH","14SH",5,3
"2021-05-06",3,"SH","4SH","24SH",4,3
"2021-05-06",3,"SH","4SH","34SH",3,3
"2021-05-06",3,"SH","5SH","15SH",5,3
"2021-05-06",3,"SH","5SH","25SH",4,3
"2021-05-06",3,"SH","5SH","35SH",4,3
"2021-05-06",3,"SH","6SH","16SH",3,3
"2021-05-06",3,"SH","6SH","26SH",4,3
"2021-05-06",3,"SH","6SH","36SH",4,3
"2021-05-06",3,"SH","7SH","17SH",3,3
"2021-05-06",3,"SH","7SH","27SH",4,3
"2021-05-06",3,"SH","7SH","37SH",3,3
"2021-05-06",3,"SH","8SH","18SH",4,3
"2021-05-06",3,"SH","8SH","28SH",3,3
