"date","week","light","plant","height","diameter1","diameter2","number_leaves","length_leaves","number_flowers","presence_fruits"
"2021-05-14",1,"SH60","1SH60",10,15,8,7,8,0,"0"
"2021-05-14",1,"SH60","2SH60",6,9,4,6,6,0,"0"
"2021-05-14",1,"SH60","3SH60",11,10,9,8,9,0,"0"
"2021-05-14",1,"SH60","4SH60",12,11,11,6,8,0,"0"
"2021-05-14",1,"HSH60","1HSH60",17,8,11,6,6,0,"0"
"2021-05-14",1,"HSH60","2HSH60",9,15,10,6,5,0,"0"
"2021-05-14",1,"HSH60","3HSH60",10,14,9,7,6,0,"0"
"2021-05-14",1,"HSH60","4HSH60",6,9,8,5,7,0,"0"
"2021-05-14",1,"SH30","1SH30",10,10,8,6,7,0,"0"
"2021-05-14",1,"SH30","2SH30",11,9,7,7,7,0,"0"
"2021-05-14",1,"SH30","3SH30",9,9,10,7,6,0,"0"
"2021-05-14",1,"SH30","4SH30",10,11,9,6,5,0,"0"
"2021-05-14",1,"FL","1FL",13,14,11,10,6,0,"0"
"2021-05-14",1,"FL","2FL",11,13,6,6,4,0,"0"
"2021-05-14",1,"FL","3FL",10,10,10,9,5,0,"0"
"2021-05-14",1,"FL","4FL",15,12,9,8,10,0,"0"
"2021-05-26",2,"SH60","1SH60",15,14,25,10,10,3,"0"
"2021-05-26",2,"SH60","2SH60",19,19,24,10,7,3,"0"
"2021-05-26",2,"SH60","3SH60",20,20,23,8,9,2,"0"
"2021-05-26",2,"SH60","4SH60",18,20,22,8,8,2,"0"
"2021-05-26",2,"HSH60","1HSH60",19,16,15,10,11,3,"0"
"2021-05-26",2,"HSH60","2HSH60",20,16,14,13,12,2,"0"
"2021-05-26",2,"HSH60","3HSH60",18,18,18,12,11,2,"0"
"2021-05-26",2,"HSH60","4HSH60",15,21,18,12,11,1,"0"
"2021-05-26",2,"SH30","1SH30",15,13,20,8,7,3,"0"
"2021-05-26",2,"SH30","2SH30",14,17,21,9,7,3,"0"
"2021-05-26",2,"SH30","3SH30",10,17,22,9,8,2,"0"
"2021-05-26",2,"SH30","4SH30",20,20,19,10,7,1,"0"
"2021-05-26",2,"FL","1FL",12,17,20,10,6,1,"0"
"2021-05-26",2,"FL","2FL",15,16,19,9,6,1,"0"
"2021-05-26",2,"FL","3FL",17,20,21,11,7,2,"0"
"2021-05-26",2,"FL","4FL",16,19,20,13,9,3,"0"
"2021-06-08",3,"SH60","1SH60",25,35,40,15,10,4,"0"
"2021-06-08",3,"SH60","2SH60",28,45,43,16,11,2,"0"
"2021-06-08",3,"SH60","3SH60",29,40,42,17,9,2,"0"
"2021-06-08",3,"SH60","4SH60",31,41,39,17,9,5,"0"
"2021-06-08",3,"HSH60","1HSH60",28,35,39,19,11,5,"0"
"2021-06-08",3,"HSH60","2HSH60",30,38,40,15,10,7,"0"
"2021-06-08",3,"HSH60","3HSH60",30,39,41,15,11,6,"0"
"2021-06-08",3,"HSH60","4HSH60",24,40,42,16,15,4,"0"
"2021-06-08",3,"SH30","1SH30",25,30,29,15,12,5,"0"
"2021-06-08",3,"SH30","2SH30",25,32,31,18,10,6,"0"
"2021-06-08",3,"SH30","3SH30",27,36,30,18,10,6,"0"
"2021-06-08",3,"SH30","4SH30",21,29,33,20,9,5,"0"
"2021-06-08",3,"FL","1FL",25,25,30,12,11,4,"0"
"2021-06-08",3,"FL","2FL",25,30,32,15,10,4,"0"
"2021-06-08",3,"FL","3FL",26,28,30,18,12,5,"0"
"2021-06-08",3,"FL","4FL",28,31,29,14,12,5,"0"
"2021-06-24",4,"SH60","1SH60",33,40,43,30,10,0,"1"
"2021-06-24",4,"SH60","2SH60",30,35,49,31,11,1,"1"
"2021-06-24",4,"SH60","3SH60",31,45,49,30,13,1,"1"
"2021-06-24",4,"SH60","4SH60",29,49,48,32,12,0,"1"
"2021-06-24",4,"HSH60","1HSH60",34,40,41,35,11,1,"1"
"2021-06-24",4,"HSH60","2HSH60",32,45,39,31,14,1,"1"
"2021-06-24",4,"HSH60","3HSH60",33,47,45,32,15,0,"1"
"2021-06-24",4,"HSH60","4HSH60",30,39,48,36,12,0,"1"
"2021-06-24",4,"SH30","1SH30",30,40,35,33,11,2,"1"
"2021-06-24",4,"SH30","2SH30",33,42,40,34,12,3,"1"
"2021-06-24",4,"SH30","3SH30",32,45,39,32,11,3,"1"
"2021-06-24",4,"SH30","4SH30",35,45,46,30,10,4,"1"
"2021-06-24",4,"FL","1FL",31,40,39,29,15,2,"1"
"2021-06-24",4,"FL","2FL",33,41,44,25,14,0,"1"
"2021-06-24",4,"FL","3FL",30,43,40,25,16,0,"1"
"2021-06-24",4,"FL","4FL",29,39,42,30,16,0,"1"
"2021-07-05",5,"SH60","1SH60",31,40,50,35,14,1,"1"
"2021-07-05",5,"SH60","2SH60",34,45,46,30,10,0,"1"
"2021-07-05",5,"SH60","3SH60",31,41,50,35,12,0,"1"
"2021-07-05",5,"SH60","4SH60",30,40,50,40,13,1,"1"
"2021-07-05",5,"HSH60","1HSH60",35,43,45,39,12,1,"1"
"2021-07-05",5,"HSH60","2HSH60",31,49,40,33,15,1,"1"
"2021-07-05",5,"HSH60","3HSH60",34,50,46,35,11,0,"1"
"2021-07-05",5,"HSH60","4HSH60",33,42,50,39,14,0,"1"
"2021-07-05",5,"SH30","1SH30",31,40,35,33,11,1,"1"
"2021-07-05",5,"SH30","2SH30",32,42,40,34,12,0,"1"
"2021-07-05",5,"SH30","3SH30",34,45,39,32,14,1,"1"
"2021-07-05",5,"SH30","4SH30",36,45,46,33,12,0,"1"
"2021-07-05",5,"FL","1FL",30,42,41,29,16,0,"1"
"2021-07-05",5,"FL","2FL",32,40,40,26,15,0,"1"
"2021-07-05",5,"FL","3FL",31,44,44,23,15,0,"1"
"2021-07-05",5,"FL","4FL",31,42,41,26,14,0,"1"
