"date","week","light","area","plant","diameter1","diameter2"
"2021-05-14",1,"SH60","1SH60","11SH60",10,10
"2021-05-14",1,"SH60","1SH60","21SH60",19,13
"2021-05-14",1,"SH60","1SH60","31SH60",14,10
"2021-05-14",1,"SH60","1SH60","41SH60",10,16
"2021-05-14",1,"SH60","2SH60","12SH60",15,14
"2021-05-14",1,"SH60","2SH60","22SH60",12,10
"2021-05-14",1,"SH60","2SH60","32SH60",14,12
"2021-05-14",1,"SH60","2SH60","42SH60",13,14
"2021-05-14",1,"SH60","3SH60","13SH60",12,13
"2021-05-14",1,"SH60","3SH60","23SH60",14,14
"2021-05-14",1,"SH60","3SH60","33SH60",11,16
"2021-05-14",1,"SH60","3SH60","43SH60",10,15
"2021-05-14",1,"SH60","4SH60","14SH60",10,15
"2021-05-14",1,"SH60","4SH60","24SH60",15,13
"2021-05-14",1,"SH60","4SH60","34SH60",14,14
"2021-05-14",1,"SH60","4SH60","44SH60",13,13
"2021-05-14",1,"HSH60","1HSH60","11HSH60",14,10
"2021-05-14",1,"HSH60","1HSH60","21HSH60",12,11
"2021-05-14",1,"HSH60","1HSH60","31HSH60",11,10
"2021-05-14",1,"HSH60","1HSH60","41HSH60",9,11
"2021-05-14",1,"HSH60","2HSH60","12HSH60",10,10
"2021-05-14",1,"HSH60","2HSH60","22HSH60",14,9
"2021-05-14",1,"HSH60","2HSH60","32HSH60",12,10
"2021-05-14",1,"HSH60","2HSH60","42HSH60",12,12
"2021-05-14",1,"HSH60","3HSH60","13HSH60",13,12
"2021-05-14",1,"HSH60","3HSH60","23HSH60",11,9
"2021-05-14",1,"HSH60","3HSH60","33HSH60",10,10
"2021-05-14",1,"HSH60","3HSH60","43HSH60",12,10
"2021-05-14",1,"HSH60","4HSH60","14HSH60",10,9
"2021-05-14",1,"HSH60","4HSH60","24HSH60",9,11
"2021-05-14",1,"HSH60","4HSH60","34HSH60",10,11
"2021-05-14",1,"HSH60","4HSH60","44HSH60",10,12
"2021-05-14",1,"SH30","1SH30","11SH30",12,11
"2021-05-14",1,"SH30","1SH30","21SH30",8,9
"2021-05-14",1,"SH30","1SH30","31SH30",11,10
"2021-05-14",1,"SH30","1SH30","41SH30",11,11
"2021-05-14",1,"SH30","2SH30","12SH30",12,9
"2021-05-14",1,"SH30","2SH30","22SH30",10,10
"2021-05-14",1,"SH30","2SH30","32SH30",12,14
"2021-05-14",1,"SH30","2SH30","42SH30",10,12
"2021-05-14",1,"SH30","3SH30","13SH30",11,13
"2021-05-14",1,"SH30","3SH30","23SH30",9,13
"2021-05-14",1,"SH30","3SH30","33SH30",9,11
"2021-05-14",1,"SH30","3SH30","43SH30",12,10
"2021-05-14",1,"SH30","4SH30","14SH30",12,10
"2021-05-14",1,"SH30","4SH30","24SH30",13,10
"2021-05-14",1,"SH30","4SH30","34SH30",12,11
"2021-05-14",1,"SH30","4SH30","44SH30",10,9
"2021-05-14",1,"FL","1FL","11FL",12,11
"2021-05-14",1,"FL","1FL","21FL",10,15
"2021-05-14",1,"FL","1FL","31FL",15,9
"2021-05-14",1,"FL","1FL","41FL",17,12
"2021-05-14",1,"FL","2FL","12FL",11,14
"2021-05-14",1,"FL","2FL","22FL",11,11
"2021-05-14",1,"FL","2FL","32FL",13,14
"2021-05-14",1,"FL","2FL","42FL",12,13
"2021-05-14",1,"FL","3FL","13FL",14,13
"2021-05-14",1,"FL","3FL","23FL",16,12
"2021-05-14",1,"FL","3FL","33FL",15,10
"2021-05-14",1,"FL","3FL","43FL",14,15
"2021-05-14",1,"FL","4FL","14FL",10,10
"2021-05-14",1,"FL","4FL","24FL",10,9
"2021-05-14",1,"FL","4FL","34FL",11,9
"2021-05-14",1,"FL","4FL","44FL",12,10
"2021-05-26",2,"SH60","1SH60","11SH60",13,15
"2021-05-26",2,"SH60","1SH60","21SH60",18,19
"2021-05-26",2,"SH60","1SH60","31SH60",19,22
"2021-05-26",2,"SH60","1SH60","41SH60",14,15
"2021-05-26",2,"SH60","2SH60","12SH60",16,20
"2021-05-26",2,"SH60","2SH60","22SH60",19,21
"2021-05-26",2,"SH60","2SH60","32SH60",20,19
"2021-05-26",2,"SH60","2SH60","42SH60",20,18
"2021-05-26",2,"SH60","3SH60","13SH60",19,16
"2021-05-26",2,"SH60","3SH60","23SH60",17,18
"2021-05-26",2,"SH60","3SH60","33SH60",15,21
"2021-05-26",2,"SH60","3SH60","43SH60",21,14
"2021-05-26",2,"SH60","4SH60","14SH60",18,12
"2021-05-26",2,"SH60","4SH60","24SH60",19,24
"2021-05-26",2,"SH60","4SH60","34SH60",20,17
"2021-05-26",2,"SH60","4SH60","44SH60",18,19
"2021-05-26",2,"HSH60","1HSH60","11HSH60",12,23
"2021-05-26",2,"HSH60","1HSH60","21HSH60",16,13
"2021-05-26",2,"HSH60","1HSH60","31HSH60",20,25
"2021-05-26",2,"HSH60","1HSH60","41HSH60",11,18
"2021-05-26",2,"HSH60","2HSH60","12HSH60",20,17
"2021-05-26",2,"HSH60","2HSH60","22HSH60",19,14
